#ip_address latitude longitude
193.137.173.218 40.6443 -8.6455
130.104.72.201 50.8833 4.7
80.65.237.11 46.9395 2.5395
132.227.62.121 48.8592 2.3417
158.110.27.127 46.033 13.2964
193.196.39.10 49.0047 8.3858
193.10.64.36 59.3294 18.0686
145.99.179.146 52.0833 5.0833
132.227.62.96 48.8592 2.3417
143.225.229.238 40.8387 14.3248
80.65.237.10 46.9395 2.5395
128.163.142.21 38.0287 -84.5075
194.29.178.5 52.25 21
139.30.240.192 54.0833 12.1333
141.76.45.18 51.05 13.75
138.251.214.77 51.5 -0.13
159.217.144.110 48.6833 2.3833
152.66.245.161 47.5 19.0833
151.97.9.224 37.3 14.85
131.114.59.242 43.7167 10.3833
192.41.136.218 47.3667 8.55
193.10.64.35 59.3294 18.0686
213.73.40.105 40.4 -3.6833
128.232.103.202 52.2093 0.1482
193.174.67.186 52.5167 13.4
193.206.22.134 42.8333 12.8333
130.208.242.2 64.1396 -21.915
130.192.9.231 45.0833 7.6833
193.1.201.26 53.3331 -6.2489
195.37.16.121 49.0168 12.0954
130.37.193.143 52.374 4.8897
193.167.187.186 60.1756 24.9342
193.137.173.217 40.6443 -8.6455
138.246.253.1 48.2499 11.6309
159.217.144.112 48.6833 2.3833
128.42.142.41 29.7176 -95.4188
212.201.44.82 53.0889 8.7906
134.151.255.180 52.4643 -1.9279
131.130.69.164 48.2 16.3667
156.17.10.52 51.1 17.0333
155.207.200.84 40.6403 22.9439
194.36.10.161 51.5166 -0.0966
128.83.122.180 30.2961 -97.7369
193.138.2.13 46 15
193.205.215.75 46.0794 11.0483
193.63.75.20 51.5166 -0.0966
147.102.3.113 37.9833 23.7333
130.79.48.57 48.5833 7.75
212.51.218.235 51.75 19.4667
130.149.49.136 52.5167 13.4
83.246.92.210 51 9
158.130.6.254 39.9597 -75.1968
206.117.37.5 34.0453 -118.2413
128.42.142.42 29.7176 -95.4188
141.213.4.201 42.2923 -83.7145
129.237.161.193 38.9525 -95.2756
155.185.54.249 44.9609 10.9488
150.140.184.252 38.2444 21.7344
193.144.21.130 41.1167 1.25
157.181.175.248 47.5 19.0833
140.109.17.181 25.0392 121.525
164.107.127.12 39.9881 -83.0444
128.10.18.52 40.4259 -86.9081
139.91.90.239 37.9667 23.7167
131.130.69.162 48.2 16.3667
157.181.175.249 47.5 19.0833
193.144.21.131 41.1167 1.25
193.226.19.31 46.55 24.5667
136.145.115.196 18.25 -66.5
72.36.112.74 40.1106 -88.2073
200.19.159.35 -23.5477 -46.6358
147.83.29.232 41.3994 2.1757
130.237.50.124 59.3326 18.0649
193.190.168.49 50.8796 4.7009
193.175.135.60 52.5167 13.4
194.42.17.121 35.1667 33.3667
194.199.68.165 48.86 2.35
128.2.211.114 40.4439 -79.9561
148.81.140.194 52.25 21
203.178.143.10 35.6345 139.5588
203.178.143.28 35.6345 139.5588
130.73.241.34 52.5167 13.4
41.225.7.3 36.8601 10.1934
193.175.135.59 52.5167 13.4
193.191.148.227 51.05 3.7167
151.100.59.13 41.9 12.4833
130.192.157.138 45.0855 7.5471
128.31.1.14 42.3751 -71.1056
203.30.39.241 1.3667 103.8
193.63.75.18 51.5166 -0.0966
138.4.0.119 40.4024 -3.6924
195.130.124.1 39.62 19.9197
204.123.28.53 37.3762 -122.1826
148.81.140.193 52.25 21
130.104.72.213 50.8833 4.7
128.208.4.99 47.6606 -122.2919
150.254.212.148 52.4167 16.9667
192.33.90.69 47.3667 8.55
130.83.166.243 49.8719 8.6484
128.114.63.63 36.9899 -122.0603
140.109.17.180 25.0392 121.525
87.236.232.153 31 36
203.30.39.243 1.3667 103.8
155.54.239.65 37.9876 -1.1331
198.82.160.239 37.1791 -80.3515
192.38.109.143 55.6777 12.5709
150.254.212.147 52.4167 16.9667
165.91.55.9 30.628 -96.3344
132.227.62.122 48.8592 2.3417
193.196.39.9 49.0047 8.3858
193.136.19.13 41.5514 -8.4198
202.112.28.100 39.9289 116.3883
199.26.254.68 38.8357 -77.3375
138.246.253.3 48.2499 11.6309
193.0.109.25 52.25 21
147.46.240.165 37.5985 126.9783
206.23.240.28 36.0609 -86.9609
202.112.128.11 39.9289 116.3883
206.23.240.29 36.0609 -86.9609
143.225.229.236 40.8387 14.3248
195.113.161.14 50.0833 14.4667
130.127.39.153 34.8474 -82.7101
193.55.112.41 48.86 2.35
203.110.240.190 22.3333 87.3333
203.110.240.191 22.3333 87.3333
198.83.85.45 35.0443 -106.6729
135.109.221.103 41.7859 -88.1473
132.239.17.225 32.8807 -117.2359
85.23.168.76 65.0167 25.4667
155.185.54.250 44.9609 10.9488
141.83.148.102 53.8667 10.7
133.9.81.165 35.69 139.69
140.192.249.203 41.8776 -87.6272
139.19.158.225 49.2333 7
139.19.158.227 49.2333 7
143.215.131.199 33.7763 -84.398
193.1.13.12 53.4228 -7.9372
131.254.208.13 48.112 -1.6743
130.92.70.253 46.9167 7.4667
165.230.49.115 40.5767 -74.3674
150.244.58.161 40.4024 -3.6924
138.15.10.56 40.3756 -74.6597
192.16.125.11 59.45 17.9167
132.227.62.99 48.8592 2.3417
165.242.90.146 34.3963 132.4594
165.242.90.147 34.3963 132.4594
150.244.58.159 40.4024 -3.6924
200.0.206.203 -34.8581 -56.1708
116.89.165.133 37.5985 126.9783
195.116.53.14 52.2333 21.0167
